Ozon Travel  ,,Partnership Agreement,10-Apr-14,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/32.htm,http://localhost/contracts/orig/32.pdf
pan-EU ebookers  ,,Partnership Agreement,8-Jan-14,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/33.htm,http://localhost/contracts/orig/33.pdf
Prestigia Rev Share  ,,Partnership Agreement,30-Apr-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/34.htm,http://localhost/contracts/orig/34.pdf
Priceline  ,,Strategic Partnership Agreement,4-Feb-14,,,,http://localhost/contracts/htm/35.htm,http://localhost/contracts/orig/35.pdf
Rakuten Travel  ,,Partnership Agreement,20-Jun-14,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/36.htm,http://localhost/contracts/orig/36.pdf
Rumbo  ,,Partnership Agreement,8-Aug-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/37.htm,http://localhost/contracts/orig/37.pdf
Sembo.se  ,,Partnership Agreement,10-Dec-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/38.htm,http://localhost/contracts/orig/38.pdf
Skoosh,,Addendum,25-Nov-16,,,,http://localhost/contracts/htm/39.htm,http://localhost/contracts/orig/39.pdf
Skoosh  ,,Partnership Agreement,16-Oct-14,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/40.htm,http://localhost/contracts/orig/40.pdf
Superbreak,,Amendment,17-Nov-16,,,,http://localhost/contracts/htm/41.htm,http://localhost/contracts/orig/41.pdf
Superbreak  ,,Partnership Agreement,9-Nov-12,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/42.htm,http://localhost/contracts/orig/42.pdf
TotalStay  ,,Partnership Agreement,16-Dec-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/43.htm,http://localhost/contracts/orig/43.pdf
TravelClick  ,,Partnership Agreement,24-Jun-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/44.htm,http://localhost/contracts/orig/44.pdf
Yanolja,,Addendum,5-Dec-16,,,"The following is added to clause 6. of the Distribution Partnership Agreement<P>6.4. Upon termination of this Agreement, the Partner may require the deletion of accommodation images provided by the Partner to HC.",http://localhost/contracts/htm/45.htm,http://localhost/contracts/orig/45.pdf
Yanolja,,Addendum,13-Feb-17,,,Schedule 1 to be deleted and replaced with the following:<P>Schedule 1 — Commission Calculation<P>In respect to Bookings made for accommodation product:<P>Monthly Commission Payment = (Monthly Bookings - Monthly Cancelled Bookings) X 0.07 (Commission) based on booked Bookings.,http://localhost/contracts/htm/46.htm,http://localhost/contracts/orig/46.pdf
Yanolja,,Addendum,16-Aug-16,,,"Clause 9.5 to be deleted and replaced with the following:<P>9.5. The cookie shall be set to expire 365 days after the date of the last visit to the Sites made by the same User. The Company will pay HotelsCombined commission for Cookie Transactions as per clause 4. The Company agrees that any form of retargeting advertising and ail forms of the Company’s email marketing to Users shall be considered a non-paid user referral source. For the avoidance of doubt, User activity arising indirectly from third party marketing campaigns, retargeting advertising or referrals from free/organic search engine results does not constitute activity arising from a paid link.",http://localhost/contracts/htm/47.htm,http://localhost/contracts/orig/47.pdf
CouponCabin-TripFit_13136                                             ,,API Partnership,,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/48.htm,http://localhost/contracts/orig/48.pdf
Hotelopia,,Partnership Agreement,6-Nov-13,,Commission 70% <BR> 30 days written notice.<BR>,,http://localhost/contracts/htm/49.htm,http://localhost/contracts/orig/49.pdf
Despegar                                                              ,,Affiliate Agreement,,,Initial term is 2 Years.,,http://localhost/contracts/htm/50.htm,http://localhost/contracts/orig/50.pdf
DirectRooms                                                           ,,Strategic Partnership Agreement,,,,,http://localhost/contracts/htm/51.htm,http://localhost/contracts/orig/51.pdf
